Annual Mean Temperature (deg.C), Mean Diurnal Range (deg.C), Isothermality (%), Temperature Seasonality (deg.C), Max Temperature Warmest Month (deg.C), Minimum Temperature Coldest Month (deg.C), Temperature Annual Range (deg.C), Mean Temperature Wettest Quarter (deg.C), Mean Temperature Driest Quarter (deg.C), Mean Temperature Warmest Quarter (deg.C), Mean Temperature Coldest Quarter (deg.C), Annual Precipitation (mm), Precipitation Wettest Month (mm), Precipitation Driest Month (mm), Precipitation Seasonality (mm), Precipitation Wettest Quarter (mm), Precipitation Driest Quarter (mm), Precipitation Warmest Quarter (mm), Precipitation Driest Quarter (mm)
14.497114,8.387687,27.45583,787.6961,29.3655,-1.18425,30.54975,21.68575,4.816458,24.148167,4.816458,1320.0,186.0,39.0,43.681236,487.0,139.0,451.0,139.0
24.644646,14.086458,40.630985,727.2412,40.688,6.01875,34.66925,30.033543,20.103292,32.49917,14.732584,442.0,127.0,4.0,123.85701,333.0,23.0,171.0,32.0
16.018803,7.022521,23.017866,869.3346,30.9125,0.40350002,30.509,26.484083,12.337459,26.484083,5.176833,1028.0,170.0,36.0,52.6955,425.0,125.0,425.0,135.0
20.181448,7.8896046,52.521206,248.5584,27.19075,12.169,15.02175,23.22925,17.124208,23.22925,17.124208,2070.0,290.0,79.0,44.161427,822.0,253.0,822.0,253.0
15.140583,17.4785,69.70975,191.0082,26.89975,1.8264999,25.07325,16.52725,12.567792,17.2875,12.567792,499.0,88.0,6.0,76.387146,251.0,25.0,161.0,25.0
21.315916,14.555417,49.414936,576.7704,35.83425,6.37875,29.455502,13.858,27.846375,27.846375,13.858,22.0,5.0,0.0,68.691086,14.0,0.0,0.0,14.0
27.168198,9.714583,53.71564,201.69392,35.054848,16.969643,18.085205,27.769047,25.401148,29.778019,24.497746,3222.0,1241.0,1.0,153.58998,2646.0,3.0,609.0,4.0
11.352344,11.602479,28.93675,1090.555,29.84875,-10.24725,40.096,24.071249,-2.7499166,24.071249,-2.7499166,554.0,193.0,3.0,135.76682,425.0,9.0,425.0,9.0
25.334719,9.549105,42.238655,408.12662,33.54325,10.93575,22.607502,28.52125,19.15775,28.52125,19.15775,1948.0,359.0,7.0,85.67704,992.0,38.0,992.0,38.0
13.240042,8.715667,27.889463,838.524,29.6155,-1.63525,31.25075,23.257626,3.222125,23.658667,3.222125,1666.0,243.0,50.0,47.83876,636.0,182.0,609.0,182.0
